x,y,rssi1,rssi2,rssi3,rssi4
,,-31.2,-66.4,-69.4,-64.8
,,-31,-67,-69.2,-64.2
,,-32,-66.8,-69.2,-64.6
,,-31.4,-66.8,-68.6,-65
,,-33,-66.8,-69,-64.8
0,0,-24.4,-66.8,-68.6,-65.4
0,0,-32,-66.8,-70,-64.8
0,0,-31,-66.6,-68.6,-64.8
0,0,-33.2,-67.8,-68.6,-65
0,0,-31.8,-67,-69.8,-64.8
0,0,-31.4,-69,-70.8,-67.6
0,0,-33,-69,-72,-69.2
0,0,-29.8,-69.8,-65.4,-66.8
0,0,-30,-70,-65.4,-69.2
0,0,-30,-69.6,-65,-66.2
0,0,-29.2,-69,-63.4,-68.8
0,0,-31.4,-69.2,-67,-68.4
0,0,-30.2,-69.8,-65.4,-64.4
0,0,-67.4,-73.2,-70.2,-65
0,0,-63.4,-63,-63.4,-65.8
0,0,-68,-58,-66.6,-64.4
0,0,-60.2,-57,-76,-62.8
0,0,-66.4,-57,-73.4,-60.8
0,0,-77.4,-53.8,-82,-61.4
0,0,-79,-57,-72.4,-62.8
0,0,-71.4,-50.4,-71.4,-60.6
0,0,-68.6,-60.2,-74.8,-65.4
0,0,-64.6,-78.6,-72.4,-73.4
0,0,-64.2,-77.6,-76,-74.4
0,0,-64,-78.2,-74,-70.6
0,0,-62.6,-76.2,-75.4,-71.4
0,0,-68,-81.2,-73.6,-73.6
0,0,-68,-82.4,-77.2,-74
0,0,-63.8,-76,-75.6,-67.8
0,0,-63.4,-78.4,-71.2,-66.8
0,0,-66,-78.2,-75.6,-67.4
0,0,-52.2,-71,-72.6,6.4
0,0,-61.8,-68.6,-71.8,-69.2
0,0,-61.8,-68.8,-71.2,-68
0,0,-64.8,-77.4,-77.2,-76.6
0,0,-67.6,-75.4,-80.8,-76.8
0,0,-73.4,-88.6,-80.6,-71
0,0,-69.6,-89,-80,-69.4
0,0,-66.2,-91,-71.6,-72
0,0,-74,-88,-77.2,-63.2
0,0,-74.6,-90.2,-78,-68.6
0,0,-70.8,-84.8,-74,-57.4
0,0,-71.8,-85.2,-72,-60.4
0,0,-71.8,-83.8,-75.2,-53.6
0,0,-67.4,-87.8,-69.6,-58.6
0,0,-76,-83.4,-66.2,-60.8
0,0,-70.2,-85,-73,-62.6
0,0,-74,-90.4,-69.6,-66
0,0,-70.2,-88.2,-76,-57
0,0,0,0,0,0
0,0,0,0,0,0
0,0,-0.2,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,-40.2,0,0,0
0,0,-36.4,0,0,0
0,0,-38,0,0,0
0,0,-39.8,0,0,0
0,0,-39,0,0,0
0,0,-39.4,0,0,0
0,0,-30.2,0,0,0
0,0,-39.4,0,0,0
0,0,-39.2,0,0,0
0,0,-38.4,0,0,0
0,0,-40,0,0,0
0,0,-38.8,0,0,0
0,0,-40,0,0,0
0,0,-40,0,0,0
0,0,-39.6,0,0,0
0,0,-39,0,0,0
0,0,-37,0,0,0
0,0,-37.4,0,0,0
0,0,-38,0,0,0
0,0,-38.4,0,0,0
0,0,-36.6,0,0,0
0,0,-36.8,0,0,0
0,0,-43.2,0,0,0
0,0,-34.8,0,0,0
0,0,-33.4,0,0,0
0,0,-33.4,0,0,0
0,0,-35.4,0,0,0
0,0,-33.6,0,0,0
0,0,-38.4,0,0,0
0,0,-38.8,0,0,0
0,0,-37.6,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,,0,0,0,0
0,0,-0.5,0,-0.5,0
0,0,-0.5,0,-0.5,0
0,0,-0.5,0,-0.5,0
0,0,-0.5,0,-0.5,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,-0.5,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,-0.5,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,-0.5,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,,0,0,0,0
0,,0,0,0,0
0,,0,0,0,0
0,,0,0,0,0
0,,0,0,0,0
0,,0,0,0,0
0,,0,0,0,0
0,,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
